x y z nx ny nz
0.0663315042 -0.1264786861 -0.0102416861 0.8733590000 0.3839200000 -0.2997510000
0.0615185042 -0.1180716861 -0.0120816861 0.8659650000 0.3287590000 -0.3768590000
0.0590425042 -0.1097606861 -0.0113186861 0.8945240000 0.3304430000 -0.3010550000
0.0242055042 -0.0991066861 -0.0102906861 -0.8809520000 -0.3864770000 -0.2730550000
0.0263445042 -0.1024856861 -0.0109896861 -0.8950990000 -0.3809720000 -0.2316400000
0.0562645042 -0.1004936861 -0.0102566861 0.9139050000 0.3416160000 -0.2192630000
0.0573455042 -0.1043016861 -0.0108096861 0.9121260000 0.3198550000 -0.2563570000
0.0219485042 -0.0926816861 -0.0106756861 -0.8960320000 -0.3677220000 -0.2488100000
0.0524875042 -0.0933506861 -0.0117306861 0.8976650000 0.3314050000 -0.2904620000
0.0196725042 -0.0851766861 -0.0117216861 -0.8907770000 -0.3710620000 -0.2623520000
0.0491145042 -0.0821466861 -0.0104926861 0.9268000000 0.3460770000 -0.1458520000
0.0503835042 -0.0861666861 -0.0112186861 0.9032350000 0.3238910000 -0.2815330000
0.0142245042 -0.0747066861 -0.0101316861 -0.9069160000 -0.3497290000 -0.2349300000
0.0472855042 -0.0772556861 -0.0106186861 0.9115000000 0.3522600000 -0.2123230000
0.0126115042 -0.0686206861 -0.0112176861 -0.8957490000 -0.3522940000 -0.2711520000
0.0393015042 -0.0664886861 -0.0142266861 0.8128350000 0.3401900000 -0.4728330000
0.0450895042 -0.0711906861 -0.0102326861 0.9101790000 0.3564740000 -0.2109530000
0.0083815042 -0.0599756861 -0.0101856861 -0.8882670000 -0.3451170000 -0.3031120000
0.0102085042 -0.0637686861 -0.0107616861 -0.8797760000 -0.3424290000 -0.3297510000
0.0394355042 -0.0611096861 -0.0121236861 0.8614980000 0.3387650000 -0.3782320000
0.0060055042 -0.0537576861 -0.0099996861 -0.9043970000 -0.3256200000 -0.2757490000
0.0364755042 -0.0528346861 -0.0117386861 0.8634900000 0.3577110000 -0.3555680000
0.0033605042 -0.0458126861 -0.0101656861 -0.8969230000 -0.3042790000 -0.3208480000
0.0329005042 -0.0430826861 -0.0106956861 0.8826510000 0.3862580000 -0.2678290000
0.0345135042 -0.0470236861 -0.0109836861 0.8811410000 0.3809570000 -0.2801120000
0.0009695042 -0.0373816861 -0.0106916861 -0.8910130000 -0.3133950000 -0.3284490000
0.0018805042 -0.0410046861 -0.0104056861 -0.8901320000 -0.3015940000 -0.3416220000
0.0307945042 -0.0381116861 -0.0104236861 0.8815570000 0.3973840000 -0.2548380000
-0.0025784958 -0.0275686861 -0.0101986861 -0.9011290000 -0.3191410000 -0.2934530000
0.0270415042 -0.0297756861 -0.0101816861 0.8699590000 0.4128800000 -0.2696320000
0.0233675042 -0.0220536861 -0.0099596861 0.8688730000 0.4178450000 -0.2654540000
0.0209385042 -0.0168956861 -0.0097966861 0.8713160000 0.4136560000 -0.2640020000
-0.0037394958 0.0357143139 -0.0102936861 0.8842390000 0.3572100000 -0.3008690000
-0.0950134958 0.0517193139 -0.0132726861 -0.9593990000 -0.2765430000 0.0554700000
-0.0927854958 0.0520713139 -0.0134866861 0.7699660000 -0.6298090000 0.1024310000
-0.0947104958 0.0546363139 -0.0142626861 -0.9986930000 0.0419630000 -0.0291900000
-0.0916054958 0.0584793139 -0.0135806861 0.4379830000 -0.7932850000 0.4229300000
-0.0108734958 0.0559373139 -0.0104836861 0.9092750000 0.2958120000 -0.2927690000
-0.0904944958 0.0656363139 -0.0135056861 -0.9859260000 0.0016610000 0.1671740000
-0.0855914958 0.0680633139 -0.0132216861 0.8997070000 -0.4216350000 0.1129230000
-0.0430824958 0.0696993139 -0.0102046861 -0.9717470000 -0.2352750000 -0.0187730000
-0.0150744958 0.0680433139 -0.0114416861 0.9036540000 0.2621990000 -0.3386160000
-0.0902254958 0.0741943139 -0.0131616861 -0.9676080000 0.2506540000 0.0301250000
-0.0827384958 0.0742183139 -0.0131886861 0.8805360000 -0.4600220000 0.1141750000
-0.0474674958 0.0782433139 -0.0105816861 -0.7978810000 -0.6028160000 -0.0001130000
-0.0446834958 0.0740523139 -0.0101466861 -0.9216920000 -0.3854360000 0.0438460000
-0.0146174958 0.0714773139 -0.0101216861 0.9018980000 0.3041670000 -0.3066950000
-0.0879504958 0.0821113139 -0.0127076861 -0.9538450000 0.2985060000 0.0327600000
-0.0805584958 0.0806493139 -0.0131346861 0.8223720000 -0.5555170000 0.1229040000
-0.0769694958 0.0837053139 -0.0124496861 0.7964090000 -0.5806870000 0.1689250000
-0.0499814958 0.0828773139 -0.0107306861 -0.8832960000 -0.4687110000 -0.0098640000
-0.0192924958 0.0831123139 -0.0099766861 0.9476970000 0.3181820000 0.0251120000
-0.0868424958 0.0864983139 -0.0118616861 -0.9459820000 0.3208290000 0.0467650000
-0.0850644958 0.0904353139 -0.0125056861 -0.9368240000 0.3482140000 0.0332700000
-0.0729244958 0.0887453139 -0.0125356861 0.7220960000 -0.6678620000 0.1803810000
-0.0688674958 0.0929013139 -0.0118796861 0.6399490000 -0.7527550000 0.1543540000
-0.0550094958 0.0936713139 -0.0116086861 -0.9213220000 -0.3843450000 0.0587000000
-0.0534034958 0.0900733139 -0.0112186861 -0.9139500000 -0.4029580000 0.0481670000
-0.0207864958 0.0899923139 -0.0109366861 0.9759800000 0.2025320000 -0.0802740000
-0.0817504958 0.0982923139 -0.0119786861 -0.9073200000 0.4202590000 0.0124060000
-0.0650904958 0.0961523139 -0.0118576861 0.5332020000 -0.8454920000 0.0289590000
-0.0585234958 0.0978133139 -0.0118216861 -0.3014740000 -0.9492190000 0.0899870000
-0.0232744958 0.0998223139 -0.0114536861 0.9981440000 0.0560570000 -0.0237890000
-0.0222724958 0.0955673139 -0.0110926861 0.9729870000 0.2267730000 -0.0432550000
-0.0792674958 0.1033223139 -0.0118116861 -0.8726180000 0.4883980000 -0.0021680000
-0.0766924958 0.1073443139 -0.0114656861 -0.8369320000 0.5472250000 -0.0094490000
-0.0231104958 0.1051503139 -0.0118036861 0.9665080000 -0.2407150000 -0.0889850000
