x y z nx ny nz
-0.0140266232 -0.0142200387 -0.0309137958 -0.6081770000 -0.6503530000 -0.4551490000
-0.0084596232 -0.0176190387 -0.0308647958 -0.4085630000 -0.8231130000 -0.3944120000
0.0033753768 -0.0199760387 -0.0309437958 0.2775840000 -0.8743740000 -0.3980160000
0.0077853768 -0.0182600387 -0.0309197958 0.4137030000 -0.8188160000 -0.3979810000
0.0138693768 -0.0145630387 -0.0310577958 0.6126450000 -0.6737750000 -0.4131510000
-0.0180136232 -0.0097360387 -0.0308427958 -0.7536350000 -0.4546580000 -0.4746800000
0.0188833768 -0.0084090387 -0.0312147958 0.8624570000 -0.4527050000 -0.2263320000
0.0202233768 -0.0051240387 -0.0310347958 0.9222640000 -0.2598400000 -0.2862030000
-0.0214786232 0.0005709613 -0.0309307958 -0.9159620000 -0.0974270000 -0.3892590000
0.0210933768 -0.0001600387 -0.0310247958 0.9095060000 -0.0631590000 -0.4108660000
-0.0210276232 0.0061559613 -0.0308517958 -0.8903410000 0.1676270000 -0.4233130000
-0.0197946232 0.0097779613 -0.0304297958 -0.8046800000 0.3284170000 -0.4946030000
0.0194013768 0.0107909613 -0.0310067958 0.8503510000 0.3146420000 -0.4217850000
0.0208023768 0.0062889613 -0.0308037958 0.8861300000 0.1601490000 -0.4348860000
-0.0152756232 0.0172579613 -0.0308287958 -0.7068200000 0.6704140000 -0.2257220000
0.0156113768 0.0160279613 -0.0308677958 0.6756180000 0.6129530000 -0.4096680000
-0.0079646232 0.0221849613 -0.0310027958 -0.3691310000 0.9072180000 -0.2017380000
-0.0010216232 0.0237019613 -0.0308507958 -0.0627620000 0.9524940000 -0.2980200000
0.0061373768 0.0224299613 -0.0309377958 0.2155030000 0.8742370000 -0.4350490000
-0.0079696232 -0.0213760387 -0.0234917958 -0.3157200000 -0.9215070000 0.2261560000
-0.0002866232 -0.0223870387 -0.0238667958 0.0283600000 -0.8888570000 0.4573060000
0.0076713768 -0.0214960387 -0.0235057958 0.3229000000 -0.8938790000 0.3109910000
0.0119513768 -0.0201810387 -0.0243487958 0.4873550000 -0.8463880000 -0.2147390000
-0.0204596232 -0.0124020387 -0.0229757958 -0.7937330000 -0.5903990000 0.1463420000
-0.0159666232 -0.0157440387 -0.0241157958 -0.5957690000 -0.6945330000 0.4033390000
-0.0087916232 -0.0163460387 -0.0244777958 0.0089250000 0.0261790000 0.9996170000
-0.0003956232 -0.0157000387 -0.0245277958 0.0007110000 0.0549060000 0.9984910000
0.0082483768 -0.0160880387 -0.0248227958 0.0318180000 -0.0071260000 0.9994680000
0.0156883768 -0.0156940387 -0.0244377958 0.6177980000 -0.6765590000 0.4007410000
0.0199283768 -0.0129580387 -0.0237207958 0.8107510000 -0.5780540000 0.0923920000
-0.0223656232 -0.0072940387 -0.0241337958 -0.8758130000 -0.4215780000 0.2349970000
-0.0170176232 -0.0077510387 -0.0256337958 -0.1202520000 -0.0429170000 0.9918150000
-0.0085366232 -0.0069930387 -0.0246117958 0.0062390000 0.0032720000 0.9999750000
-0.0005036232 -0.0068830387 -0.0246407958 -0.0037010000 0.0044020000 0.9999830000
0.0077723768 -0.0071260387 -0.0245717958 0.0028310000 0.0110370000 0.9999350000
0.0160813768 -0.0081760387 -0.0254427958 0.1102740000 -0.0338220000 0.9933260000
0.0217453768 -0.0079040387 -0.0243437958 0.9165430000 -0.3784420000 0.1293480000
-0.0228726232 0.0002559613 -0.0252937958 -0.8693440000 -0.0699300000 0.4892350000
-0.0158996232 0.0001999613 -0.0246517958 0.0094610000 -0.0060140000 0.9999370000
-0.0081476232 0.0000039613 -0.0247147958 0.0015840000 -0.0088790000 0.9999590000
-0.0003346232 -0.0002220387 -0.0246887958 -0.0006760000 -0.0051410000 0.9999870000
0.0076843768 0.0003219613 -0.0247057958 -0.0010510000 -0.0050680000 0.9999870000
0.0154703768 0.0000889613 -0.0246227958 -0.0124170000 -0.0064960000 0.9999020000
0.0224583768 0.0003089613 -0.0254327958 0.8879650000 -0.0606440000 0.4558960000
-0.0225686232 0.0076619613 -0.0247597958 -0.4579420000 0.0183970000 0.8887920000
-0.0163556232 0.0081619613 -0.0248687958 -0.0552880000 0.0201400000 0.9982670000
-0.0080276232 0.0081949613 -0.0246457958 0.0183750000 -0.0055080000 0.9998160000
-0.0004236232 0.0081779613 -0.0247007958 -0.0023870000 -0.0007300000 0.9999970000
0.0077833768 0.0079119613 -0.0246637958 -0.0065890000 -0.0095450000 0.9999330000
0.0159013768 0.0082609613 -0.0247407958 0.0118050000 0.0047910000 0.9999190000
0.0217863768 0.0077439613 -0.0246447958 -0.0042260000 0.0052130000 0.9999770000
-0.0215046232 0.0137649613 -0.0235837958 -0.8553350000 0.3654130000 0.3672540000
-0.0161866232 0.0160169613 -0.0252407958 -0.1649260000 0.1236270000 0.9785270000
-0.0082376232 0.0159749613 -0.0245977958 0.0062800000 -0.0184610000 0.9998100000
-0.0003296232 0.0160489613 -0.0246407958 -0.0026480000 -0.0133330000 0.9999080000
0.0079083768 0.0160099613 -0.0245687958 -0.0078060000 -0.0124440000 0.9998920000
0.0153563768 0.0155079613 -0.0249257958 0.0675820000 0.0632470000 0.9957070000
0.0206753768 0.0138389613 -0.0236867958 0.2015480000 0.2002510000 0.9587900000
-0.0140776232 0.0215839613 -0.0238007958 -0.2175290000 0.1790890000 0.9594830000
-0.0083586232 0.0224649613 -0.0250587958 -0.1092240000 0.3012500000 0.9472690000
-0.0002756232 0.0229879613 -0.0250097958 -0.0199030000 0.2717230000 0.9621700000
0.0074213768 0.0223369613 -0.0248517958 0.0596690000 0.1669480000 0.9841590000
0.0134873768 0.0213409613 -0.0237767958 0.1890960000 0.2952280000 0.9365270000
-0.0131496232 -0.0202070387 -0.0178497958 -0.4271340000 -0.9038150000 -0.0259760000
-0.0080066232 -0.0216350387 -0.0182977958 -0.3040340000 -0.9525910000 -0.0115560000
-0.0002496232 -0.0230330387 -0.0184127958 0.0132970000 -0.9999110000 -0.0012470000
0.0076303768 -0.0218240387 -0.0182747958 0.3369820000 -0.9414530000 -0.0104370000
0.0120593768 -0.0203200387 -0.0186747958 0.5314150000 -0.8466720000 0.0272830000
-0.0207386232 -0.0125310387 -0.0181357958 -0.7988260000 -0.6015510000 -0.0037700000
-0.0164966232 -0.0165620387 -0.0183407958 -0.6412270000 -0.7673040000 0.0085110000
-0.0116406232 -0.0196200387 -0.0184257958 -0.3690590000 -0.7529340000 0.5448730000
0.0115963768 -0.0195920387 -0.0188647958 0.4761560000 -0.8784460000 -0.0401060000
0.0162063768 -0.0167510387 -0.0182717958 0.6645250000 -0.7471750000 0.0116540000
0.0202753768 -0.0128480387 -0.0184067958 0.8250910000 -0.5647910000 -0.0153460000
-0.0226826232 -0.0081790387 -0.0183107958 -0.9087760000 -0.4172800000 -0.0020030000
-0.0199986232 -0.0112680387 -0.0190457958 0.0914400000 -0.5400470000 0.8366530000
0.0197323768 -0.0108640387 -0.0182007958 -0.8249430000 0.5553240000 0.1052800000
