x y z nx ny nz
0.0034601783 0.0110806977 -0.0087596202 0.5462110000 0.8339580000 -0.0785350000
0.0099331783 0.0063056977 -0.0085346202 0.5603440000 0.8170800000 -0.1356280000
-0.0325068217 0.0165996977 -0.0088126202 -0.9713740000 -0.1899260000 -0.1426880000
-0.0044528217 0.0176206977 -0.0087756202 0.7368560000 0.6726750000 0.0674730000
0.0000831783 0.0135446977 -0.0079436202 0.6218050000 0.7815350000 0.0506130000
-0.0311378217 0.0238266977 -0.0086516202 -0.9215460000 0.3707990000 -0.1151590000
-0.0104038217 0.0260756977 -0.0080946202 0.8824170000 0.4702610000 0.0139490000
-0.0082958217 0.0225076977 -0.0081556202 0.8477550000 0.5303820000 0.0026320000
-0.0327888217 0.0336996977 -0.0078846202 0.6746640000 0.6427200000 0.3629590000
-0.0219178217 0.0324466977 -0.0086246202 -0.3501510000 0.9345110000 0.0639120000
-0.0128228217 0.0305416977 -0.0082896202 0.7301920000 0.6830990000 0.0139310000
-0.0408648217 0.0420336977 -0.0078356202 0.5377150000 0.5647500000 0.6260350000
-0.0502688217 0.0485636977 -0.0082526202 -0.0874030000 -0.0614080000 0.9942790000
-0.0489508217 0.0504426977 -0.0077566202 0.5664700000 0.6289910000 0.5324310000
-0.0609838217 0.0584906977 -0.0081866202 -0.2986140000 -0.2395190000 0.9238290000
-0.0691448217 0.0650616977 -0.0080456202 -0.4981790000 -0.4721460000 0.7272520000
-0.0835118217 0.0761826977 -0.0078046202 -0.3863200000 -0.3186010000 0.8655920000
-0.0772988217 0.0727846977 -0.0081086202 -0.5050990000 -0.4657380000 0.7266110000
-0.0715768217 0.0708086977 -0.0083686202 0.3059590000 0.3689690000 0.8776400000
-0.0905308217 0.0834336977 -0.0081636202 -0.3586730000 -0.2645400000 0.8951940000
-0.0859248217 0.0804566977 -0.0082136202 -0.4130900000 -0.3801300000 0.8275610000
-0.0775738217 0.0783846977 -0.0083896202 0.4478410000 0.5101110000 0.7343190000
-0.0982918217 0.0910236977 -0.0083746202 -0.2336200000 -0.0653920000 0.9701270000
