x y z nx ny nz
0.0039211039 -0.0300284677 -0.0778264602 -0.2188400000 -0.9752630000 -0.0311630000
0.0102341039 -0.0310654677 -0.0780714602 -0.1135420000 -0.9930940000 -0.0295470000
0.0184201039 -0.0314974677 -0.0779794602 -0.0399490000 -0.9990250000 -0.0188090000
0.0261331039 -0.0311824677 -0.0783134602 0.1020750000 -0.9944430000 -0.0257620000
0.0329441039 -0.0307054677 -0.0776134602 0.2593240000 -0.9625850000 -0.0786160000
-0.0185578961 -0.0219934677 -0.0787184602 -0.4408720000 -0.8973470000 -0.0200090000
-0.0134088961 -0.0240444677 -0.0782744602 -0.4270710000 -0.9039120000 -0.0235200000
-0.0056098961 -0.0269674677 -0.0784164602 -0.3394300000 -0.9401580000 -0.0298500000
0.0018201039 -0.0291664677 -0.0783334602 -0.1909130000 -0.9806590000 -0.0431210000
0.0066151039 -0.0295024677 -0.0773874602 -0.1627260000 -0.9862730000 -0.0280500000
0.0370341039 -0.0279324677 -0.0779704602 0.7524940000 -0.6429140000 -0.1428790000
0.0394561039 -0.0239774677 -0.0772264602 0.8873200000 -0.4494420000 -0.1032710000
-0.0284878961 -0.0151924677 -0.0781324602 -0.5552470000 -0.8313860000 -0.0223310000
-0.0219058961 -0.0196924677 -0.0781534602 -0.4959990000 -0.8680950000 -0.0199140000
-0.0172448961 -0.0214334677 -0.0765604602 -0.4349510000 -0.8995510000 -0.0403270000
0.0423651039 -0.0176694677 -0.0771454602 0.9141610000 -0.3965830000 -0.0838570000
-0.0367168961 -0.0081644677 -0.0778604602 -0.6782370000 -0.7344770000 -0.0231880000
-0.0324958961 -0.0124514677 -0.0778404602 -0.6741180000 -0.7379280000 -0.0320580000
0.0452441039 -0.0100994677 -0.0775144602 0.9585850000 -0.2624070000 -0.1107160000
0.0466621039 -0.0065904677 -0.0756484602 0.9930850000 -0.0756390000 -0.0897800000
-0.0435828961 -0.0003694677 -0.0780064602 -0.7907880000 -0.6112630000 -0.0318040000
-0.0408408961 -0.0044464677 -0.0778294602 -0.7651490000 -0.6419150000 -0.0499250000
0.0441791039 -0.0013444677 -0.0779974602 0.8643900000 0.4958010000 -0.0837290000
0.0465921039 -0.0048224677 -0.0762774602 0.9845650000 0.1411000000 -0.1035520000
-0.0477178961 0.0057465323 -0.0776364602 -0.9444720000 -0.3046750000 -0.1230630000
