x y z nx ny nz
0.0222443439 0.0028874756 0.0094074927 0.9767210000 -0.2144870000 0.0032810000
-0.0210106561 0.0099704756 0.0093714927 -0.9757920000 0.2186860000 -0.0024330000
-0.0199856561 0.0133324756 0.0095814927 -0.9680680000 0.2506880000 -0.0001090000
0.0239913439 0.0107484756 0.0093684927 0.9871390000 -0.1598610000 0.0004570000
-0.0188416561 0.0187374756 0.0094764927 -0.9662810000 0.2574870000 -0.0012920000
-0.0061916561 0.0224634756 0.0102354927 0.2086440000 0.9779720000 0.0061870000
0.0001273439 0.0214614756 0.0094604927 0.2265720000 0.9739740000 0.0063450000
0.0075983439 0.0198234756 0.0092704927 0.2294950000 0.9732960000 0.0051990000
0.0156623439 0.0179004756 0.0095274927 0.2246000000 0.9744240000 0.0072440000
0.0228213439 0.0160774756 0.0093024927 0.5495540000 0.8354390000 0.0056020000
-0.0162036561 0.0245584756 0.0094574927 -0.6718420000 0.7406670000 0.0063250000
-0.0092656561 0.0239414756 0.0093124927 0.1714750000 0.9851880000 0.0011440000
-0.0035236561 0.0232404756 0.0098904927 0.2231260000 0.9747560000 0.0081000000
0.0108203439 -0.0253255244 0.0170824927 -0.1489000000 -0.9888440000 -0.0040250000
0.0141873439 -0.0256195244 0.0175934927 0.3437310000 -0.9390660000 0.0018870000
-0.0224916561 -0.0178675244 0.0175684927 -0.2701940000 -0.9627860000 -0.0062040000
-0.0162726561 -0.0191075244 0.0174224927 -0.2053840000 -0.9786480000 -0.0080950000
-0.0083316561 -0.0207635244 0.0174114927 -0.2059700000 -0.9785220000 -0.0083630000
-0.0002926561 -0.0224945244 0.0174384927 -0.2045260000 -0.9788340000 -0.0072390000
0.0074123439 -0.0240435244 0.0173614927 -0.1969620000 -0.9803810000 -0.0077230000
0.0161763439 -0.0220185244 0.0173964927 0.8456880000 -0.5336540000 0.0049830000
-0.0253156561 -0.0135175244 0.0173924927 -0.9846450000 -0.1744340000 -0.0069180000
0.0186723439 -0.0133915244 0.0174104927 0.9773270000 -0.2116690000 0.0053630000
0.0199613439 -0.0094855244 0.0173424927 0.9781030000 -0.2079600000 0.0081610000
-0.0240866561 -0.0051365244 0.0173624927 -0.9826070000 0.1856650000 -0.0034860000
0.0195153439 -0.0083775244 0.0178404927 0.9776670000 -0.2100440000 0.0069590000
0.0205513439 -0.0047135244 0.0174324927 0.9773210000 -0.2116100000 0.0080230000
-0.0225026561 0.0028334756 0.0175284927 -0.9801400000 0.1982660000 -0.0040080000
0.0222213439 0.0028474756 0.0174094927 0.9760560000 -0.2174500000 0.0054740000
-0.0210646561 0.0099484756 0.0173184927 -0.9756250000 0.2194020000 -0.0044060000
-0.0199876561 0.0134304756 0.0174074927 -0.9687110000 0.2481640000 -0.0037030000
0.0239473439 0.0108244756 0.0173874927 0.9859610000 -0.1669440000 0.0032820000
-0.0188096561 0.0189074756 0.0174284927 -0.9667330000 0.2557790000 -0.0021250000
-0.0061786561 0.0223834756 0.0177654927 0.2186460000 0.9757830000 0.0064470000
0.0001193439 0.0214804756 0.0173974927 0.2238670000 0.9745960000 0.0067340000
0.0079323439 0.0196554756 0.0175604927 0.2282440000 0.9735920000 0.0048720000
0.0160523439 0.0177854756 0.0173784927 0.2240200000 0.9745810000 0.0026020000
0.0227203439 0.0161454756 0.0174514927 0.4528220000 0.8916000000 0.0014660000
-0.0163746561 0.0245074756 0.0173574927 -0.7203720000 0.6935640000 0.0057460000
-0.0091146561 0.0238244756 0.0175324927 0.1791170000 0.9838240000 0.0027970000
-0.0027016561 0.0229714756 0.0153424927 0.2213000000 0.9751320000 0.0120310000
0.0107843439 -0.0253665244 0.0256534927 -0.1513080000 -0.9884760000 -0.0046150000
0.0141683439 -0.0256015244 0.0254574927 0.2891020000 -0.9572880000 0.0043730000
-0.0225726561 -0.0178905244 0.0256954927 -0.2751100000 -0.9614020000 -0.0046160000
-0.0163876561 -0.0191505244 0.0254204927 -0.2062570000 -0.9784840000 -0.0052100000
-0.0083106561 -0.0208345244 0.0254194927 -0.2062210000 -0.9784870000 -0.0060740000
-0.0003536561 -0.0225365244 0.0253974927 -0.2038200000 -0.9789930000 -0.0054750000
0.0074053439 -0.0240865244 0.0254524927 -0.1983680000 -0.9801120000 -0.0055440000
0.0162453439 -0.0219875244 0.0253134927 0.8697490000 -0.4934750000 0.0044770000
-0.0254086561 -0.0135665244 0.0254444927 -0.9844280000 -0.1755580000 -0.0090020000
0.0186563439 -0.0131455244 0.0254454927 0.9772570000 -0.2119410000 0.0070480000
0.0197783439 -0.0100445244 0.0258154927 0.9786530000 -0.2053780000 0.0075650000
-0.0241196561 -0.0050685244 0.0254294927 -0.9814690000 0.1914450000 -0.0082700000
0.0195343439 -0.0083325244 0.0258094927 0.9792630000 -0.2024010000 0.0088470000
0.0204703439 -0.0047525244 0.0253494927 0.9774680000 -0.2108580000 0.0097960000
-0.0225456561 0.0029074756 0.0254414927 -0.9801620000 0.1980260000 -0.0082880000
0.0221573439 0.0028734756 0.0254974927 0.9756090000 -0.2193060000 0.0095870000
-0.0210516561 0.0101254756 0.0253884927 -0.9749480000 0.2223740000 -0.0050410000
-0.0199906561 0.0135724756 0.0253014927 -0.9666140000 0.2562170000 -0.0032160000
0.0239353439 0.0107794756 0.0254154927 0.9879390000 -0.1546670000 0.0074050000
-0.0188196561 0.0189844756 0.0256014927 -0.9648700000 0.2626840000 -0.0048060000
-0.0063276561 0.0224144756 0.0250724927 0.2142100000 0.9767870000 0.0006780000
-0.0000406561 0.0214004756 0.0255724927 0.2253390000 0.9742790000 0.0013690000
0.0078053439 0.0197254756 0.0254204927 0.2266340000 0.9739780000 0.0021600000
0.0154813439 0.0178924756 0.0253344927 0.2220080000 0.9750450000 0.0003130000
0.0226353439 0.0162914756 0.0256534927 0.4758030000 0.8795520000 0.0001710000
-0.0161436561 0.0246344756 0.0253654927 -0.6528570000 0.7574730000 -0.0034690000
-0.0093266561 0.0238494756 0.0254704927 0.1742950000 0.9846860000 -0.0037870000
-0.0038086561 0.0231824756 0.0267354927 0.2239730000 0.9745950000 -0.0003220000
0.0105583439 -0.0253445244 0.0336324927 -0.1697560000 -0.9854790000 -0.0036990000
0.0140733439 -0.0256175244 0.0335354927 0.2994390000 -0.9541150000 -0.0010240000
-0.0225486561 -0.0179455244 0.0336464927 -0.2729450000 -0.9620000000 -0.0075560000
