x y z nx ny nz
-0.0037615034 -0.0284233365 -0.0349987806 0.0181000000 -0.1037690000 0.9944370000
0.0207064966 -0.0290353365 -0.0352427806 0.6699000000 -0.6988120000 -0.2507920000
0.0296784966 -0.0166843365 -0.0350117806 0.8801950000 -0.3806290000 -0.2835100000
-0.0406465034 -0.0129593365 -0.0349637806 -0.9197470000 -0.3176850000 -0.2305260000
-0.0345075034 -0.0101633365 -0.0351927806 -0.1026920000 -0.0180330000 0.9945500000
-0.0305745034 -0.0094183365 -0.0349747806 -0.0852790000 -0.0233170000 0.9960840000
0.0156504966 -0.0134923365 -0.0350717806 0.0594450000 -0.0438380000 0.9972690000
0.0202394966 -0.0105973365 -0.0350687806 0.0828540000 -0.0403710000 0.9957440000
0.0307424966 -0.0124973365 -0.0353347806 0.9113300000 -0.2936620000 -0.2885130000
-0.0356495034 -0.0034123365 -0.0352887806 -0.1303510000 -0.0021170000 0.9914660000
0.0220994966 -0.0038633365 -0.0351467806 0.1142890000 -0.0118400000 0.9933770000
0.0252574966 -0.0031873365 -0.0355227806 0.1181760000 -0.0094010000 0.9929480000
-0.0416155034 0.0032416635 -0.0354517806 -0.9028510000 0.0868770000 -0.4210850000
-0.0366065034 0.0034656635 -0.0354267806 -0.1244730000 0.0183610000 0.9920530000
0.0217884966 0.0042466635 -0.0351347806 0.1025450000 0.0034080000 0.9947220000
0.0258964966 0.0037756635 -0.0355627806 0.1151270000 -0.0009620000 0.9933500000
-0.0341065034 0.0114046635 -0.0354087806 -0.1098450000 0.0434410000 0.9929990000
-0.0305965034 0.0128276635 -0.0351727806 -0.1086910000 0.0476100000 0.9929350000
0.0201954966 0.0128716635 -0.0351827806 0.0975080000 0.0471420000 0.9941180000
0.0257504966 0.0135696635 -0.0357327806 0.0086900000 -0.0367390000 0.9992870000
-0.0331505034 0.0175656635 -0.0356197806 -0.0884060000 0.0466590000 0.9949910000
-0.0278605034 0.0199456635 -0.0352997806 -0.0650130000 0.0655080000 0.9957320000
-0.0222785034 0.0222576635 -0.0350977806 -0.0884190000 0.0917740000 0.9918470000
0.0132994966 0.0218026635 -0.0351237806 0.0836750000 0.0953750000 0.9919190000
0.0193524966 0.0199706635 -0.0355047806 0.0527330000 0.0295350000 0.9981720000
0.0253154966 0.0176936635 -0.0354707806 -0.0602380000 -0.0769170000 0.9952160000
-0.0268835034 0.0260706635 -0.0353737806 -0.1219440000 0.1320470000 0.9837140000
-0.0199545034 0.0274246635 -0.0353207806 -0.0619210000 0.0630960000 0.9960850000
-0.0123235034 0.0298486635 -0.0351667806 -0.0399900000 0.1146150000 0.9926050000
-0.0040585034 0.0303276635 -0.0351567806 0.0227600000 0.1334900000 0.9907890000
0.0034914966 0.0287026635 -0.0352507806 0.0536350000 0.1078050000 0.9927240000
0.0116644966 0.0276506635 -0.0354707806 0.0155750000 0.0081440000 0.9998460000
0.0180754966 0.0257456635 -0.0354757806 -0.0469260000 -0.0619380000 0.9969760000
-0.0181475034 0.0323806635 -0.0351397806 0.0226420000 -0.1090200000 0.9937820000
-0.0112795034 0.0330596635 -0.0352887806 0.0024730000 0.0122740000 0.9999220000
-0.0044905034 0.0335436635 -0.0354347806 0.0111660000 0.0418670000 0.9990610000
0.0038884966 0.0332726635 -0.0353487806 -0.0005740000 -0.0546480000 0.9985060000
0.0099784966 0.0325336635 -0.0352607806 -0.0519110000 -0.1328540000 0.9897750000
-0.0108595034 -0.0405553365 -0.0290377806 -0.1428940000 -0.9879460000 -0.0595270000
-0.0041485034 -0.0408883365 -0.0294297806 0.0266020000 -0.9967250000 -0.0763670000
0.0018684966 -0.0405803365 -0.0289197806 0.1898020000 -0.9787980000 -0.0770010000
-0.0267385034 -0.0340723365 -0.0293397806 -0.5350810000 -0.8402060000 -0.0879860000
-0.0201975034 -0.0374743365 -0.0296847806 -0.3759580000 -0.9226390000 -0.0859770000
-0.0134475034 -0.0395273365 -0.0297197806 -0.2201700000 -0.9727550000 -0.0726180000
-0.0043865034 -0.0399563365 -0.0322107806 0.0071280000 -0.9942790000 -0.1065720000
0.0052654966 -0.0393983365 -0.0298667806 0.2628640000 -0.9607150000 -0.0890450000
0.0119124966 -0.0370623365 -0.0298117806 0.4287050000 -0.8983260000 -0.0960340000
0.0179094966 -0.0336503365 -0.0296197806 0.5780620000 -0.8101770000 -0.0972490000
-0.0346755034 -0.0269903365 -0.0297497806 -0.7500810000 -0.6541960000 -0.0969860000
-0.0303945034 -0.0310433365 -0.0306497806 -0.6313810000 -0.7660080000 -0.1207910000
-0.0111965034 -0.0257563365 -0.0345887806 -0.0100010000 -0.0909780000 0.9958030000
-0.0043995034 -0.0258383365 -0.0346487806 0.0166710000 -0.0942520000 0.9954090000
0.0024104966 -0.0256503365 -0.0348137806 0.0361100000 -0.0860810000 0.9956330000
0.0219814966 -0.0302143365 -0.0299997806 0.6711450000 -0.7339580000 -0.1042570000
0.0256734966 -0.0264553365 -0.0295247806 0.7703050000 -0.6297220000 -0.1004010000
